{'volume': '9133.97118105', 'last': '111.99', 'timestamp': 1377537092.434793, 'bid': '111.09', 'high': '113.30', 'low': '110.27', 'ask': '111.76'}
{'volume': '9134.03118105', 'last': '111.09', 'timestamp': 1377537094.931588, 'bid': '111.09', 'high': '113.30', 'low': '110.27', 'ask': '111.76'}
{'volume': '9134.03118105', 'last': '111.09', 'timestamp': 1377537096.219958, 'bid': '111.09', 'high': '113.30', 'low': '110.27', 'ask': '111.76'}
{'volume': '9134.03118105', 'last': '111.09', 'timestamp': 1377537097.466625, 'bid': '111.09', 'high': '113.30', 'low': '110.27', 'ask': '111.76'}
{'volume': '9134.03118105', 'last': '111.09', 'timestamp': 1377537099.968259, 'bid': '111.09', 'high': '113.30', 'low': '110.27', 'ask': '111.76'}
{'volume': '9134.03118105', 'last': '111.09', 'timestamp': 1377537101.200782, 'bid': '111.09', 'high': '113.30', 'low': '110.27', 'ask': '111.76'}
{'volume': '9134.03118105', 'last': '111.09', 'timestamp': 1377537108.691559, 'bid': '111.10', 'high': '113.30', 'low': '110.27', 'ask': '111.76'}
{'volume': '9134.03118105', 'last': '111.09', 'timestamp': 1377537109.975453, 'bid': '111.10', 'high': '113.30', 'low': '110.27', 'ask': '111.76'}
{'volume': '9134.03118105', 'last': '111.09', 'timestamp': 1377537111.204702, 'bid': '111.10', 'high': '113.30', 'low': '110.27', 'ask': '111.76'}
{'volume': '9134.03118105', 'last': '111.09', 'timestamp': 1377537113.736647, 'bid': '111.10', 'high': '113.30', 'low': '110.27', 'ask': '111.76'}
{'volume': '9148.45708415', 'last': '112.00', 'timestamp': 1377537114.965241, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.02'}
{'volume': '9148.45708415', 'last': '112.00', 'timestamp': 1377537117.467489, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.02'}
{'volume': '9148.45708415', 'last': '112.00', 'timestamp': 1377537118.745665, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.02'}
{'volume': '9159.04908415', 'last': '112.00', 'timestamp': 1377537121.239299, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.02'}
{'volume': '9159.04908415', 'last': '112.00', 'timestamp': 1377537122.574603, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.02'}
{'volume': '9159.04908415', 'last': '112.00', 'timestamp': 1377537123.820827, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.01'}
{'volume': '9159.04908415', 'last': '112.00', 'timestamp': 1377537126.215292, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.01'}
{'volume': '9168.28624415', 'last': '112.00', 'timestamp': 1377537142.493365, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.02'}
{'volume': '9168.28624415', 'last': '112.00', 'timestamp': 1377537144.98062, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.02'}
{'volume': '9168.28624415', 'last': '112.00', 'timestamp': 1377537148.727181, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.02'}
{'volume': '9167.44924415', 'last': '112.00', 'timestamp': 1377537151.264595, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.11'}
{'volume': '9167.44924415', 'last': '112.00', 'timestamp': 1377537156.241488, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.01'}
{'volume': '9167.44924415', 'last': '112.00', 'timestamp': 1377537157.499781, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.01'}
{'volume': '9167.44924415', 'last': '112.00', 'timestamp': 1377537159.996826, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.01'}
{'volume': '9167.44924415', 'last': '112.00', 'timestamp': 1377537161.299084, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.01'}
{'volume': '9167.44924415', 'last': '112.00', 'timestamp': 1377537163.785114, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.01'}
{'volume': '9167.44924415', 'last': '112.00', 'timestamp': 1377537164.988332, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.01'}
{'volume': '9167.44924415', 'last': '112.00', 'timestamp': 1377537167.507312, 'bid': '112.00', 'high': '113.30', 'low': '110.27', 'ask': '112.10'}
